"","pair_id","region","species","yearqua","pair_id_x","cpue_length_intersect_yearqua_x","cpue_length_yearqua_x","range_size_x","num_intersect","num_union","pair_id_y","cpue_length_intersect_yearqua_y","cpue_length_yearqua_y","range_size_y","prop_cpue_intersect_x","prop_cpue_intersect_y","area_overlap","overlap_abun_weighted","mean_intersect","mean_union","mean_oa","mean_ow"
"16219","5","Scottish West Coast","Sprattus sprattus",2009.1,2,3254,3271,6,4,7,3,1128,1130,5,0.994802812595536,0.998230088495575,0.571428571428571,0.996514977134257,2.5,6.3,0.403690476190476,0.68371496599692
"16220","5","Scottish West Coast","Sprattus sprattus",2010.1,2,837,839,10,9,13,3,773,781,12,0.99761620977354,0.989756722151088,0.692307692307692,0.993678695429388,7.4,13,0.572317682317682,0.859211650608535
"16221","6","Scottish West Coast","Sprattus sprattus",1985.1,2,59.75,67.083,14,9,14,4,19.083,19.083,9,0.890687655590835,1,0.642857142857143,0.943762499567998,7.7,12.3,0.638721278721279,0.805475565750581
"16222","6","Scottish West Coast","Sprattus sprattus",1986.1,2,412.833,412.833,8,8,19,4,220.167,1318.167,19,1,0.167025118972027,0.421052631578947,0.408687067292356,7.7,17.1,0.436480785296575,0.654267710679593
"16223","6","Scottish West Coast","Sprattus sprattus",1987.1,2,136.75,137.75,10,9,20,4,186,314.5,19,0.992740471869328,0.591414944356121,0.45,0.766238573115885,7.6,17.6,0.431755525176578,0.728674892691347
"16224","6","Scottish West Coast","Sprattus sprattus",1988.1,2,155.95,155.95,6,6,13,4,2864.55,5065.05,13,1,0.565552166316226,0.461538461538462,0.752032024794308,5.4,11.4,0.465201465201465,0.646765067520182
"16225","6","Scottish West Coast","Sprattus sprattus",1989.1,2,38,38,8,8,15,4,272.5,1010.5,15,1,0.269668480950025,0.533333333333333,0.519296139933684,6,14,0.419473254213966,0.743010680211876
"16226","6","Scottish West Coast","Sprattus sprattus",1990.1,2,89.167,90.167,11,10,18,4,251.667,287.667,17,0.988909467987179,0.874855301442293,0.555555555555556,0.930135845301675,8,16,0.508142414860681,0.731992496760057
"16227","6","Scottish West Coast","Sprattus sprattus",1991.1,2,877.286,877.286,15,15,16,4,735.858,826.858,16,1,0.889944827285943,0.9375,0.943368871272496,9.9,15.3,0.643511904761905,0.79962036670493
"16228","6","Scottish West Coast","Sprattus sprattus",1992.1,2,380.2,413.533,10,8,14,4,1074.9,1130.9,12,0.919394582778158,0.950481917057211,0.571428571428571,0.934809031605385,7.7,13.5,0.582524142524143,0.855326054209237
"16229","6","Scottish West Coast","Sprattus sprattus",1993.1,2,3117.25,3117.25,12,12,17,4,778,1943,17,1,0.400411734431292,0.705882352941177,0.632780952961838,10.5,16.7,0.620123045169485,0.77496919876382
"16230","6","Scottish West Coast","Sprattus sprattus",1994.1,2,353.167,369.167,20,16,24,4,160.5,359.5,20,0.956659181346112,0.446453407510431,0.666666666666667,0.653531752356464,14.1,22.7,0.61853634085213,0.707102348325242
"16231","6","Scottish West Coast","Sprattus sprattus",1995.1,2,242,247,7,6,14,4,86,1471,13,0.979757085020243,0.0584636301835486,0.428571428571429,0.239332730499477,7.2,12.4,0.586431623931624,0.557506552761886
"16232","6","Scottish West Coast","Sprattus sprattus",1996.1,2,554,555,18,17,23,4,2053,2706,22,0.998198198198198,0.758684405025868,0.739130434782609,0.87023985549841,13.3,21.9,0.604095783518317,0.62752993817537
"16233","6","Scottish West Coast","Sprattus sprattus",1997.1,2,5767.166,5771.166,27,26,35,4,6656.167,7336.667,34,0.999306899160412,0.907246710256851,0.742857142857143,0.952164847492417,22.2,32.6,0.678177232578855,0.694932495095395
"16234","6","Scottish West Coast","Sprattus sprattus",1998.1,2,786,787,18,17,28,4,2055.333,2359.333,27,0.998729351969504,0.871150024180563,0.607142857142857,0.932761008575118,15.7,25.9,0.603111936095444,0.904212835775863
"16235","6","Scottish West Coast","Sprattus sprattus",1999.1,2,10043.238,10087.238,23,21,25,4,4896.096,4960.096,23,0.995638052755373,0.987097023928569,0.84,0.991358340250822,18.7,24.5,0.764321627647715,0.858350876278621
"16236","6","Scottish West Coast","Sprattus sprattus",2000.1,2,7357.166,7359.166,27,26,33,4,1329.167,1460.167,32,0.999728230073897,0.91028423461152,0.787878787878788,0.953958514156851,22.1,29.9,0.736653924300476,0.928265761018498
"16237","6","Scottish West Coast","Sprattus sprattus",2001.1,2,16175.833,16181.833,24,22,32,4,23490.833,24474.833,30,0.999629213822686,0.959795435580704,0.6875,0.979509855335893,17.9,29.3,0.602285084678021,0.877623986530475
"16238","6","Scottish West Coast","Sprattus sprattus",2002.1,2,2576.167,2598.167,24,21,26,4,1174.333,1178.333,23,0.991532491945283,0.996605373862906,0.807692307692308,0.994065696939769,19.4,25,0.775294871794872,0.978591936255858
"16239","6","Scottish West Coast","Sprattus sprattus",2003.1,2,5992,5996,23,22,29,4,6142.833,7213.833,28,0.999332888592395,0.851535237924138,0.758620689655172,0.92247881767168,18.6,27.4,0.680988681483434,0.879878244047573
"16240","6","Scottish West Coast","Sprattus sprattus",2004.1,2,1983.166,1985.166,17,16,26,4,1495.833,7491.833,25,0.998992527577039,0.19966181840946,0.615384615384615,0.446610193158972,14.8,24,0.613923035570094,0.566548507344027
"16241","6","Scottish West Coast","Sprattus sprattus",2005.1,2,5356.5,6973.5,18,12,22,4,3026,3709,16,0.768122176812218,0.815853329738474,0.545454545454545,0.791628091718714,11.2,20.8,0.545447346957644,0.758927556456154
"16242","6","Scottish West Coast","Sprattus sprattus",2006.1,2,10920,10926,13,12,18,4,1106,1849,17,0.99945085118067,0.598161168199027,0.666666666666667,0.773196410169978,8.8,16.4,0.542376822523881,0.694328380928359
"16243","6","Scottish West Coast","Sprattus sprattus",2007.1,2,25.9,83.9,11,3,15,4,354.8,389.133,7,0.308700834326579,0.911770525758545,0.2,0.530532112144069,4.4,12.4,0.374124209124209,0.562872058119341
"16244","6","Scottish West Coast","Sprattus sprattus",2008.1,2,107,123,7,4,11,4,421,448.667,8,0.869918699186992,0.938335112678222,0.363636363636364,0.903479529719694,3.9,10.1,0.408658008658009,0.686569979251901
"16245","6","Scottish West Coast","Sprattus sprattus",2009.1,2,3186,3271,6,2,7,4,692,700,3,0.974014062977683,0.988571428571429,0.285714285714286,0.981265750796648,2.5,6.3,0.403690476190476,0.68371496599692
"16246","6","Scottish West Coast","Sprattus sprattus",2010.1,2,839,839,10,10,13,4,681,727,13,1,0.936726272352132,0.769230769230769,0.967846202840168,7.4,13,0.572317682317682,0.859211650608535
"16247","7","Scottish West Coast","Sprattus sprattus",1985.1,2,46.75,67.083,14,9,15,5,42.75,43.75,10,0.696897872784461,0.977142857142857,0.6,0.825208324333551,7.7,12.3,0.638721278721279,0.805475565750581
"16248","7","Scottish West Coast","Sprattus sprattus",1986.1,2,412.833,412.833,8,8,18,5,200.167,787.167,18,1,0.254287844891872,0.444444444444444,0.504269615277256,7.7,17.1,0.436480785296575,0.654267710679593
"16249","7","Scottish West Coast","Sprattus sprattus",1987.1,2,136.75,137.75,10,9,21,5,140.25,734.25,20,0.992740471869328,0.191011235955056,0.428571428571429,0.43545905033007,7.6,17.6,0.431755525176578,0.728674892691347
"16250","7","Scottish West Coast","Sprattus sprattus",1988.1,2,155.95,155.95,6,6,13,5,626.1,6157.1,13,1,0.101687482743499,0.461538461538462,0.318884748370786,5.4,11.4,0.465201465201465,0.646765067520182
"16251","7","Scottish West Coast","Sprattus sprattus",1989.1,2,33,38,8,7,17,5,509.5,1296.833,16,0.868421052631579,0.392880193517592,0.411764705882353,0.58411080388283,6,14,0.419473254213966,0.743010680211876
"16252","7","Scottish West Coast","Sprattus sprattus",1990.1,2,84.167,90.167,11,8,19,5,374.667,770.167,16,0.933456807923076,0.486475011263791,0.421052631578947,0.673871954564545,8,16,0.508142414860681,0.731992496760057
"16253","7","Scottish West Coast","Sprattus sprattus",1991.1,2,610.786,877.286,15,12,16,5,1566.928,1612.928,13,0.696222212596576,0.971480438060471,0.75,0.822414895342219,9.9,15.3,0.643511904761905,0.79962036670493
"16254","7","Scottish West Coast","Sprattus sprattus",1992.1,2,407.533,413.533,10,9,14,5,461.066,497.066,13,0.985490879808867,0.927575010159617,0.642857142857143,0.95609451041773,7.7,13.5,0.582524142524143,0.855326054209237
"16255","7","Scottish West Coast","Sprattus sprattus",1993.1,2,3117.25,3117.25,12,12,18,5,259,1490,18,1,0.173825503355705,0.666666666666667,0.416923857983331,10.5,16.7,0.620123045169485,0.77496919876382
"16256","7","Scottish West Coast","Sprattus sprattus",1994.1,2,360.167,369.167,20,18,25,5,256.999,960.999,23,0.975620789507188,0.267428998365243,0.72,0.510792805863801,14.1,22.7,0.61853634085213,0.707102348325242
"16257","7","Scottish West Coast","Sprattus sprattus",1995.1,2,247,247,7,7,14,5,41,5359.5,14,1,0.00764996734770034,0.5,0.0874640917617072,7.2,12.4,0.586431623931624,0.557506552761886
"16258","7","Scottish West Coast","Sprattus sprattus",1996.1,2,541,555,18,17,24,5,1562.5,5370.5,23,0.974774774774775,0.290941253142166,0.708333333333333,0.532543138632304,13.3,21.9,0.604095783518317,0.62752993817537
"16259","7","Scottish West Coast","Sprattus sprattus",1997.1,2,5767.166,5771.166,27,26,34,5,1256.834,1698.334,33,0.999306899160412,0.740039356216151,0.764705882352941,0.859957228190466,22.2,32.6,0.678177232578855,0.694932495095395
"16260","7","Scottish West Coast","Sprattus sprattus",1998.1,2,786,787,18,17,29,5,684.333,1039.333,28,0.998729351969504,0.658434784616672,0.586206896551724,0.81092425401784,15.7,25.9,0.603111936095444,0.904212835775863
"16261","7","Scottish West Coast","Sprattus sprattus",1999.1,2,10043.238,10087.238,23,20,26,5,1354.049,1896.049,23,0.995638052755373,0.714142408766862,0.769230769230769,0.843224381321289,18.7,24.5,0.764321627647715,0.858350876278621
"16262","7","Scottish West Coast","Sprattus sprattus",2000.1,2,6715.166,7359.166,27,23,29,5,309.834,335.834,25,0.912490083794821,0.92258079884705,0.793103448275862,0.917521569472586,22.1,29.9,0.736653924300476,0.928265761018498
"16263","7","Scottish West Coast","Sprattus sprattus",2001.1,2,16143.833,16181.833,24,22,31,5,6558.333,14047.333,29,0.997651687543679,0.466873889869344,0.709677419354839,0.68247895505886,17.9,29.3,0.602285084678021,0.877623986530475
"16264","7","Scottish West Coast","Sprattus sprattus",2002.1,2,2588.167,2598.167,24,22,26,5,447,453,24,0.996151132702401,0.986754966887417,0.846153846153846,0.991441918603718,19.4,25,0.775294871794872,0.978591936255858
"16265","7","Scottish West Coast","Sprattus sprattus",2003.1,2,5866,5996,23,18,30,5,1208,1639,25,0.978318879252835,0.737034777303234,0.6,0.849149596538597,18.6,27.4,0.680988681483434,0.879878244047573
"16266","7","Scottish West Coast","Sprattus sprattus",2004.1,2,1979.166,1985.166,17,16,26,5,280.333,5620.333,25,0.996977582731117,0.0498783612999443,0.615384615384615,0.222996879079972,14.8,24,0.613923035570094,0.566548507344027
"16267","7","Scottish West Coast","Sprattus sprattus",2005.1,2,1918.5,6973.5,18,7,23,5,220,441,12,0.275112927511293,0.498866213151927,0.304347826086957,0.370465307872005,11.2,20.8,0.545447346957644,0.758927556456154
